id,source_url,in_reply_to_user_id,source,in_reply_to_status_id,in_reply_to_user_id_str,favorite_count,id_str,lang,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,text,user,author
1.3273E+18,http://www.socialflow.com,,SocialFlow,,,12254,1327300906010939392,en,,,1907,UK Prime Minister Boris Johnson's adviser Dominic Cummings leaves Number 10 Downing Street with immediate effect… https://t.co/Eq9FtMDwsX,BBCBreaking,BBCBreaking
1.32701E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1327014903371149314,en,,,665,"RT @BBCSport: SCOTLAND HAVE DONE IT! ??????????????

Aleksandar Mitrovic misses the crucial spot kick.

Scotland beat Serbia 5-4 on penalties and…",BBCBreaking,BBCBreaking
1.32693E+18,http://www.socialflow.com,,SocialFlow,,,1340,1326931904122204161,en,,,435,"Number of new UK coronavirus cases hits 33,470 - the highest daily figure recorded in the country since the outbrea… https://t.co/sL0RLwU1ly",BBCBreaking,BBCBreaking
1.32693E+18,http://www.socialflow.com,,SocialFlow,,,669,1326928140179038209,en,,,127,Former boxer Nicola Adams leaves Strictly Come Dancing after her partner Katya Jones tests positive for Covid-19 https://t.co/eMn0Xgy60w,BBCBreaking,BBCBreaking
1.32679E+18,http://www.socialflow.com,,SocialFlow,,,1979,1326786384137433090,en,,,280,"UK economy bounces back from recession with 15.5% growth in July to September, but GDP remains below pre-Covid leve… https://t.co/D3g0x98dT6",BBCBreaking,BBCBreaking
1.32641E+18,http://www.socialflow.com,,SocialFlow,,,1091,1326411150376972291,en,,,450,Four Hong Kong opposition lawmakers are disqualified after Beijing ruling https://t.co/Nmzq6UaolS,BBCBreaking,BBCBreaking
1.32622E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1326216286611922951,en,,,230,RT @BBCSport: Greg Clarke has resigned as Football Association chairman following the language he used in a reference to black players when…,BBCBreaking,BBCBreaking
1.32606E+18,http://www.socialflow.com,,SocialFlow,,,1159,1326060443773898754,en,,,261,"UK unemployment rate rises to 4.8% in three months to September, up from 4.5% as effects of coronavirus continue https://t.co/ouVEzEHDra",BBCBreaking,BBCBreaking
1.32595E+18,http://www.socialflow.com,,SocialFlow,,,2811,1325951880762068992,en,,,559,"Armenia, Azerbaijan and Russia sign peace deal to end fighting in Nagorno-Karabakh https://t.co/BCaFSgnHXV",BBCBreaking,BBCBreaking
1.32585E+18,http://www.socialflow.com,,SocialFlow,,,1817,1325852106331480068,en,,,267,"UK PM Boris Johnson says coronavirus vaccine has ""cleared significant hurdle"" but warns of ""several more"" hurdles t… https://t.co/hGT9I96Kqz",BBCBreaking,BBCBreaking
1.32577E+18,http://www.socialflow.com,,SocialFlow,,,47461,1325769649842171909,en,,,10880,"Covid-19 vaccine more than 90% effective in preventing disease in preliminary results, says drugs firm Pfizer https://t.co/p7p9lhGVdE",BBCBreaking,BBCBreaking
1.32539E+18,https://www.twitter.com/,,Twitter Media Studio - LiveCut,,,10784,1325394530934403072,en,,,888,"Prince Charles lays a wreath on behalf of the Queen at #RemembranceSunday commemorations, as the UK remembers those… https://t.co/j04IMS3GSA",BBCBreaking,BBCBreaking
1.32525E+18,https://www.twitter.com/,,Twitter Media Studio - LiveCut,,,11202,1325253400091619334,en,,,1163,"“I’m humbled by the trust and confidence you’ve placed in me… I pledge to be a president who seeks not to divide, b… https://t.co/KBUMkAdcO0",BBCBreaking,BBCBreaking
1.32525E+18,https://www.twitter.com/,,Twitter Media Studio - LiveCut,,,6126,1325250804891185155,en,,,793,"“When our very democracy was on the ballot in this election, with the very soul of America at stake… you ushered in… https://t.co/5pfIQBL46k",BBCBreaking,BBCBreaking
1.32512E+18,http://www.socialflow.com,,SocialFlow,,,31766,1325124882175156226,en,,,3420,“This election is about so much more than Joe Biden or me. It’s about the soul of America and our willingness to fi… https://t.co/jI6ByKYfb8,BBCBreaking,BBCBreaking
1.32511E+18,http://www.socialflow.com,,SocialFlow,,,66814,1325112938626228226,en,,,17869,"Joe Biden wins US presidential election

BBC projects he’s secured enough electoral college votes to defeat Donald… https://t.co/MZFZQgDhtk",BBCBreaking,BBCBreaking
